날짜,종가_OIL_GSL,전일대비_OIL_GSL,등략율_OIL_GSL
2019.04.09,1408.14,1.77,+ 0.13%
2019.04.08,1406.37,1.36,+ 0.10%
2019.04.07,1405.01,0.77,+ 0.05%
2019.04.06,1404.24,1.51,+ 0.11%
2019.04.05,1402.74,1.41,+ 0.10%
2019.04.04,1401.33,1.42,+ 0.10%
2019.04.03,1399.91,1.65,+ 0.12%
2019.04.02,1398.26,2.05,+ 0.15%
2019.04.01,1396.21,2.02,+ 0.14%
2019.03.31,1394.19,0.23,+ 0.02%
2019.03.30,1393.96,1.19,+ 0.09%
2019.03.29,1392.77,1.34,+ 0.10%
2019.03.28,1391.43,1.46,+ 0.11%
2019.03.27,1389.97,1.66,+ 0.12%
2019.03.26,1388.31,1.99,+ 0.14%
2019.03.25,1386.32,1.6,+ 0.12%
2019.03.24,1384.72,0.89,+ 0.06%
2019.03.23,1383.83,1.98,+ 0.14%
2019.03.22,1381.85,2.02,+ 0.15%
2019.03.21,1379.83,1.8,+ 0.13%
2019.03.20,1378.03,2.26,+ 0.16%
2019.03.19,1375.77,2.81,+ 0.20%
2019.03.18,1372.96,2.03,+ 0.15%
2019.03.17,1370.93,1.38,+ 0.10%
2019.03.16,1369.55,2.72,+ 0.20%
2019.03.15,1366.83,3.14,+ 0.23%
2019.03.14,1363.69,2.31,+ 0.17%
2019.03.13,1361.38,2.45,+ 0.18%
2019.03.12,1358.93,2.07,+ 0.15%
2019.03.11,1356.86,1.17,+ 0.09%
2019.03.10,1355.69,0.8,+ 0.06%
2019.03.09,1354.89,1.31,+ 0.10%
2019.03.08,1353.58,1.81,+ 0.13%
2019.03.07,1351.77,0.94,+ 0.07%
2019.03.06,1350.83,0.62,+ 0.05%
2019.03.05,1350.21,0.67,+ 0.05%
2019.03.04,1349.54,0.36,+ 0.03%
2019.03.03,1349.18,0.17,+ 0.01%
2019.03.02,1349.01,0.49,+ 0.04%
2019.03.01,1348.52,1.35,+ 0.10%
2019.02.28,1347.17,0.6,+ 0.04%
2019.02.27,1346.57,0.6,+ 0.04%
2019.02.26,1345.97,0.76,+ 0.06%
2019.02.25,1345.21,0.57,+ 0.04%
2019.02.24,1344.64,0.34,+ 0.03%
2019.02.23,1344.3,0.6,+ 0.04%
2019.02.22,1343.7,0.51,+ 0.04%
