회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
하이켐,21660,,,1996-07-01,12월,,,서울특별시
하이콤,48540,,"B-RAS, NI(네트워크통합)",2001-07-31,12월,김유현,http://www.hycom.com,
한국산업투자,19530,,,1996-07-01,12월,,,서울특별시
한빛방송,43890,텔레비전 방송업,"케이블TV 방송, 초고속인터넷서비스",2000-08-10,12월,이상윤,http://www.tbroad.com,경기도
한서금고,23580,,,1996-07-01,06월,,,인천광역시
한서제약,44070,의약품 제조업,고덱스등의약품,2004-11-19,12월,권철,http://www.hanseoph.co.kr,충청북도
한신코퍼,37120,,만화영화,1999-11-18,12월,김정배,http://www.hahnshin.co.kr,서울특별시
한텔,41940,통신 및 방송 장비 제조업,"무선호출기, 이동전화 중계기",2001-07-24,12월,윤성진,http://www.han-tel.com,서울특별시
핸디소프트,32380,소프트웨어 개발 및 공급업,"핸디오피스,핸디솔루션,핸디인트라웨어",1999-11-23,12월,권석호,http://www.handysoft.co.kr,서울특별시
형진건설,6520,,,1996-07-01,12월,,,경기도
혜성테푸,6860,,,1996-07-01,12월,,,서울특별시
후야인포넷,32050,,"VGA Card, ADSL, 광 MUX",1997-01-23,12월,박정수,http://www.koreastemcell.com,
휴먼텍코리아,66060,"건축기술, 엔지니어링 및 관련 기술 서비스업",클린룸 설계 및 시공관리,2002-08-16,12월,"박청윤, 정한슬",http://www.humantec.co.kr,경기도
디피앤케이,189700,봉제의복 제조업,의류,2014-06-10,12월,이창세,http://www.dpnk.co.kr,서울특별시
미래자원엠엘,233190,동물용 사료 및 조제식품 제조업,"단미사료, 보조사료",2015-12-24,12월,김성진,,서울특별시
에스엠로보틱스,252940,"인형,장난감 및 오락용품 제조업",스크린승마시뮬레이터,2016-09-30,12월,전주식,http://www.tophorse.co.kr,경기도
