S하중,S저항,T저항,M하중,M_stroke,C하중,C_stroke,C저항,저항합,Gap,초기위치,이동속도,접촉예측,1초,2초,3초,4초,5초,6초,7초,8초,9초,10초,11초,12초,Trip시간
80,0.115,0.72,219,1.97,298,1.7,1.0653,0.835,1.548,8.063,0.0485,32.84,8.01,7.986,7.927,7.877,7.833,7.766,7.737,7.687,7.611,7.567,7.525,7.456,92
101,0.13,0.74,233,2.17,332,1.79,1.0479,0.87,1.633,8.489,0.0485,34.84,8.488,8.452,8.408,8.343,8.268,8.24,8.195,8.144,8.133,8.051,8.003,7.963,98
84,0.127,0.73,236,1.85,361,1.55,1.0494,0.857,1.535,8.01,0.0473,32.69,7.986,7.961,7.916,7.883,7.85,7.78,7.732,7.703,7.629,7.576,7.513,7.491,86
97,0.112,0.73,205,1.91,327,1.59,1.1611,0.842,1.393,8.274,0.0493,29.11,8.274,8.228,8.165,8.128,8.066,8.022,8.015,7.934,7.874,7.81,7.781,7.706,80
80,0.107,0.74,266,1.91,297,1.63,1.0493,0.847,1.552,8.46,0.0483,32.96,8.422,8.38,8.345,8.294,8.252,8.176,8.146,8.09,8.042,7.984,7.939,7.885,91
84,0.142,0.72,223,1.92,323,1.72,1.1071,0.862,1.556,8.398,0.0521,32.58,8.414,8.368,8.335,8.259,8.185,8.133,8.119,8.057,8.005,7.938,7.893,7.826,90
93,0.111,0.72,212,2.03,310,1.74,1.0984,0.831,1.528,8.126,0.0435,33,8.142,8.12,8.085,8.031,7.991,7.957,7.91,7.842,7.808,7.758,7.707,7.65,91
78,0.114,0.72,233,1.88,322,1.71,1.1716,0.834,1.512,8.342,0.0461,32.3,8.333,8.281,8.249,8.218,8.159,8.122,8.077,8.018,7.984,7.916,7.872,7.812,89
79,0.128,0.73,232,1.99,350,1.73,1.1104,0.858,1.638,8.258,0.0359,36.54,8.263,8.249,8.222,8.181,8.141,8.085,8.062,8.005,7.956,7.907,7.904,7.793,100
89,0.153,0.72,217,1.81,294,1.64,1.1671,0.873,1.755,8.356,0.0434,38.34,8.37,8.345,8.311,8.246,8.205,8.164,8.146,8.099,8.058,8.008,7.936,7.879,97
